Wall time,Step,Value
1715365964.9897869,31,-460.14007568359375
1715365991.9759839,58,-252.31336975097656
1715366019.691613,86,-189.1656494140625
1715366046.6838648,113,-181.6637420654297
1715366073.7636557,140,-146.8990936279297
1715366100.521958,167,-152.00677490234375
1715366128.2249413,195,-153.0126190185547
1715366157.25994,224,-146.7622833251953
1715366185.528234,252,-137.75863647460938
1715366214.6381023,281,-155.8651885986328
1715366243.5132027,310,-149.56300354003906
1715366273.2282267,340,-163.78562927246094
1715366303.3365088,370,-165.17160034179688
1715366336.69066,403,-150.64576721191406
1715366368.5942378,435,-163.07615661621094
1715366400.0978856,466,-136.80738830566406
1715366432.6335108,499,-153.52044677734375
1715366463.038073,529,-143.21945190429688
1715366495.3529568,562,-153.23704528808594
1715366528.0824077,594,-153.4546356201172
1715366557.6386235,624,-135.95498657226562
1715366588.2611456,655,-136.39231872558594
1715366620.0641515,686,-141.26414489746094
1715366652.6610527,719,-134.65496826171875
1715366684.7362688,751,-150.72592163085938
1715366716.907177,783,-150.54742431640625
1715366749.6048713,816,-148.8524932861328
1715366783.8846662,850,-131.60801696777344
1715366817.3922203,884,-141.1776123046875
1715366852.9370315,919,-133.1991729736328
1715366886.454226,953,-148.25250244140625
1715366921.3365974,988,-138.92813110351562
1715366956.684535,1023,-122.80606842041016
1715366994.2107942,1061,-122.94715118408203
1715367033.6815813,1100,-111.85643005371094
1715367068.259313,1135,-111.55089569091797
1715367102.5285504,1169,-110.38854217529297
1715367136.4861295,1203,-104.43630981445312
1715367172.100424,1238,-128.819580078125
1715367208.8216336,1275,-106.21073913574219
1715367247.5124757,1314,-109.3791275024414
1715367287.2734828,1354,-103.0130386352539
1715367325.7303627,1392,-109.29752349853516
1715367365.0015888,1431,-107.15516662597656
1715367406.8361905,1473,-115.0762939453125
1715367448.344542,1515,-106.47491455078125
1715367491.6108892,1558,-116.86566162109375
1715367530.4651482,1597,-122.25730895996094
1715367566.6204076,1633,-127.2826919555664
1715367605.2553825,1672,-104.15576171875
1715367643.1965942,1710,-130.533203125
1715367683.7902405,1750,-107.62647247314453
1715367728.5191596,1795,-98.34272003173828
1715367772.1584482,1838,-110.2094497680664
1715367817.6408563,1884,-92.82170104980469
1715367863.0279384,1929,-101.7148208618164
1715367907.048038,1973,-103.69918060302734
1715367950.4921727,2017,-108.75916290283203
1715367992.3383217,2059,-99.33964538574219
