Wall time,Step,Value
1715421106.0568767,4,-341.5175476074219
1715421106.1381364,14,-284.5658874511719
1715421106.1477976,15,-289.4449768066406
1715421106.1725185,18,-273.21234130859375
1715421106.2321296,26,-253.60299682617188
1715421106.2406166,27,-252.3569793701172
1715421138.8888502,40,-145.6200714111328
1715421138.9407349,47,-144.5741729736328
1715421138.9484649,48,-146.42396545410156
1715421138.9586666,49,-159.1143341064453
1715421139.0527494,62,-151.26763916015625
1715421139.059729,63,-150.9363555908203
1715421139.0871317,67,-149.80284118652344
1715421168.7610123,70,-87.6337661743164
1715421168.770984,71,-202.05873107910156
1715421168.824023,77,-168.5915069580078
1715421168.8707733,82,-165.1839599609375
1715421168.9398956,89,-136.99269104003906
1715421169.048974,99,-148.09825134277344
1715421169.0841866,103,-143.38922119140625
1715421197.0945532,107,-269.8318786621094
1715421197.2248526,121,-128.13377380371094
1715421197.2601776,125,-115.00408172607422
1715421197.2725272,126,-119.23003387451172
1715421197.2917807,128,-111.86467742919922
1715421197.3088965,130,-107.67107391357422
1715421197.3662488,136,-97.81924438476562
1715421225.4622784,144,-259.994384765625
1715421225.4796727,146,-282.4123840332031
1715421225.4873013,147,-272.2523193359375
1715421225.510219,150,-283.8695068359375
1715421225.558223,157,-255.03562927246094
1715421225.5781543,160,-247.4669647216797
1715421225.5946422,162,-255.4429168701172
1715421225.6115859,164,-254.19497680664062
1715421225.6738975,172,-259.9952087402344
1715421256.518961,177,-131.08924865722656
1715421256.5707834,184,-143.7518768310547
1715421256.6193855,191,-130.84507751464844
1715421256.6304111,192,-145.22210693359375
1715421256.7058752,203,-136.67190551757812
1715421256.7177281,205,-136.3009796142578
1715421292.478494,213,-150.289306640625
1715421292.599762,229,-147.51722717285156
1715421292.7096841,244,-147.4811553955078
1715421320.972715,245,-149.91824340820312
1715421321.0736747,258,-138.16917419433594
1715421321.0843172,259,-131.87911987304688
1715421321.1836555,271,-130.0568389892578
1715421321.2086618,274,-127.35066223144531
1715421348.6047935,282,-135.74264526367188
1715421348.6284645,285,-146.77093505859375
1715421348.6499827,288,-143.58457946777344
1715421348.663315,290,-139.57640075683594
1715421348.6994462,295,-134.5988006591797
1715421348.7105083,297,-133.32992553710938
1715421348.7914608,308,-134.60401916503906
1715421348.8184924,312,-133.8790740966797
1715421383.6528015,316,-145.88327026367188
1715421383.6681976,318,-159.1173553466797
1715421383.6743345,319,-152.3301239013672
1715421383.6970153,322,-143.27293395996094
1715421383.8631546,345,-133.74205017089844
1715421383.8698654,346,-135.12474060058594
1715421415.4650333,358,-67.28883361816406
1715421415.5146353,364,-90.7094497680664
1715421415.5210125,365,-92.94568634033203
1715421415.529553,366,-94.26502227783203
1715421415.6542077,378,-80.74798583984375
1715421443.1272,386,-242.09115600585938
1715421443.17744,390,-326.0068664550781
1715421443.2222219,392,-300.5412902832031
1715421443.2771587,397,-298.7619934082031
1715421443.3607228,402,-289.09320068359375
1715421443.3799534,404,-287.5082702636719
1715421443.5392125,415,-281.9840393066406
1715421478.8334942,421,-135.24757385253906
1715421478.8404565,422,-146.49264526367188
1715421478.9450102,436,-139.4188232421875
1715421478.9544332,437,-144.70901489257812
1715421478.9675777,439,-143.66819763183594
1715421479.0253716,446,-144.51576232910156
1715421479.0689464,452,-142.78892517089844
1715421521.0687828,461,-118.90449523925781
1715421521.1038277,465,-104.8575210571289
1715421521.130273,468,-98.90567016601562
1715421521.1461604,470,-100.2316665649414
1715421521.1812248,474,-94.4459228515625
1715421521.1902177,475,-91.64141845703125
1715421521.2359133,480,-95.60762023925781
1715421521.2443354,481,-93.39617919921875
