Wall time,Step,Value
1715261658.8611398,0,-257.707763671875
1715261659.82015,1,-310.05328369140625
1715261660.5001047,2,-318.74755859375
1715261662.9556892,4,-280.1234130859375
1715261663.7871602,5,-258.6564636230469
1715261664.7352357,6,-241.54917907714844
1715261665.518351,7,-228.3077392578125
1715261667.7784712,9,-214.38014221191406
1715261668.9235992,10,-203.7007598876953
1715261669.8943033,11,-190.70755004882812
1715261670.9314742,12,-184.65274047851562
1715261671.7211196,13,-184.87777709960938
1715261672.7945313,14,-174.223388671875
1715261673.9094443,15,-168.486572265625
1715261674.9013703,16,-162.48817443847656
1715261675.8749855,17,-163.23643493652344
1715261676.8136222,18,-160.62486267089844
1715261677.7178369,19,-157.07904052734375
1715261678.6877275,20,-155.5731964111328
1715261679.7323883,21,-148.64053344726562
1715261680.8694491,22,-145.97586059570312
1715261681.953426,23,-141.15628051757812
1715261683.6696255,25,-137.39259338378906
1715261684.6382298,26,-139.6997833251953
1715261686.3019738,28,-136.2334747314453
1715261687.952761,29,-130.0217742919922
1715261688.822087,30,-128.14279174804688
1715261689.9435885,31,-128.63995361328125
1715261690.915135,32,-128.5896759033203
1715261691.8775468,33,-126.56855010986328
1715261693.7409189,35,-125.09969329833984
1715261694.9090548,36,-124.86296081542969
1715261695.8104458,37,-124.8471450805664
1715261697.5963838,39,-124.77806091308594
1715261698.9660351,40,-124.8912353515625
1715261700.8001525,42,-124.59468841552734
1715261701.9571686,43,-125.72817993164062
1715261702.7837358,44,-126.30599212646484
1715261703.7350955,45,-125.03977966308594
1715261704.791899,46,-126.32022857666016
1715261705.6528711,47,-125.30732727050781
1715261706.6689394,48,-123.60198974609375
1715261707.8600547,49,-119.45771789550781
1715261708.9644694,50,-115.38921356201172
1715261709.8946204,51,-116.06245422363281
1715261711.9809725,53,-114.39910125732422
1715261713.6767535,55,-115.05061340332031
1715261714.8703356,56,-113.93878173828125
1715261715.5237188,57,-114.95801544189453
1715261717.8659592,59,-111.49016571044922
1715261718.9447427,60,-109.74600219726562
1715261719.9669144,61,-110.98204040527344
1715261722.9608474,64,-106.60322570800781
1715261723.8475966,65,-105.55693054199219
1715261724.8855057,66,-104.61579132080078
1715261725.821925,67,-102.66808319091797
1715261726.8684423,68,-102.16570281982422
1715261727.930375,69,-100.85487365722656
1715261728.893293,70,-101.8466567993164
1715261729.912535,71,-100.38692474365234
1715261730.6613302,72,-99.11642456054688
1715261731.9478931,73,-98.38102722167969
1715261732.7423284,74,-99.71712493896484
1715261733.9472852,75,-98.84343719482422
1715261734.3939133,76,-98.16867065429688
1715261735.855114,77,-94.26913452148438
1715261737.6548398,79,-91.78926849365234
1715261738.7929313,80,-91.87818145751953
1715261739.743163,81,-91.27080535888672
1715261740.9264612,82,-91.67164611816406
1715261742.6862504,84,-90.08741760253906
1715261743.9360821,85,-88.57646942138672
1715261744.6869907,86,-89.12054443359375
1715261745.794973,87,-88.03939056396484
1715261746.915332,88,-85.65911102294922
1715261747.848797,89,-83.90070343017578
1715261750.6780684,92,-82.28126525878906
1715261751.9479334,93,-80.38758087158203
1715261752.7945828,94,-79.33380126953125
1715261753.9312882,95,-78.74187469482422
1715261754.9286914,96,-78.79469299316406
1715261755.859143,97,-78.99783325195312
1715261756.761217,98,-78.35150146484375
1715261757.917654,99,-76.17479705810547
1715261758.7692478,100,-73.88945007324219
1715261759.963346,101,-71.68962860107422
1715261760.8111787,102,-69.72395324707031
1715261761.9344532,103,-70.10906219482422
1715261762.8348866,104,-68.34921264648438
1715261763.8915467,105,-67.85365295410156
1715261764.9015493,106,-67.3281021118164
1715261765.8389912,107,-66.76567077636719
1715261766.9116957,108,-66.09526824951172
1715261767.6185243,109,-65.80729675292969
1715261768.9406683,110,-64.65052795410156
1715261770.7215621,112,-63.673404693603516
1715261772.8069944,114,-62.610496520996094
1715261773.872497,115,-62.27330017089844
1715261774.9253318,116,-61.98212432861328
1715261775.9270473,117,-62.44478225708008
1715261776.6915448,118,-61.935611724853516
1715261777.8938355,119,-61.003135681152344
1715261778.7389967,120,-61.46274185180664
1715261779.9579797,121,-59.14110565185547
1715261780.7959397,122,-57.58231735229492
1715261782.9082265,124,-55.60696792602539
1715261783.9743142,125,-54.21054458618164
1715261785.9186401,127,-53.6595458984375
1715261786.9840772,128,-54.337799072265625
1715261787.7575731,129,-54.47477722167969
1715261788.768877,130,-53.53021240234375
1715261789.788012,131,-52.8320198059082
1715261790.9614131,132,-51.530330657958984
1715261791.944324,133,-49.818119049072266
1715261792.7847743,134,-48.82936096191406
1715261793.765035,135,-46.86380386352539
1715261794.962333,136,-46.359466552734375
1715261795.8189995,137,-45.0771598815918
1715261796.9062865,138,-43.9946174621582
1715261797.9288843,139,-42.68162536621094
1715261798.8787477,140,-41.41341781616211
1715261799.8424995,141,-40.745018005371094
1715261800.602761,142,-40.19989776611328
1715261801.8747168,143,-39.62394714355469
1715261802.7904224,144,-38.73618698120117
1715261804.8597407,146,-36.871158599853516
1715261805.8846302,147,-36.212730407714844
1715261806.8265097,148,-35.49859619140625
1715261808.7398434,150,-34.87956237792969
1715261809.8231409,151,-34.491390228271484
1715261810.9617229,152,-34.57933807373047
1715261811.8836648,153,-34.395423889160156
