Wall time,Step,Value
1715264819.9260912,11,-457.53619384765625
1715264830.6351814,22,-309.0657958984375
1715264840.2661824,31,-177.36199951171875
1715264850.1603546,41,-155.41065979003906
1715264860.1028564,51,-178.7167510986328
1715264870.0878565,61,-152.95327758789062
1715264879.6348526,71,-143.94313049316406
1715264888.855887,80,-124.74372863769531
1715264899.2025802,90,-148.42962646484375
1715264908.9307,100,-132.54779052734375
1715264918.8390403,110,-144.20303344726562
1715264929.202439,120,-147.9818878173828
1715264939.158101,130,-148.89205932617188
1715264949.3523867,140,-160.18275451660156
1715264959.3990824,150,-144.8711395263672
1715264969.5046434,161,-161.93080139160156
1715264979.5751426,171,-126.29524230957031
1715264990.4117775,181,-143.9622344970703
1715265000.1710758,191,-133.23760986328125
1715265010.0457284,201,-129.53977966308594
1715265020.249873,211,-125.5280532836914
1715265030.3272824,221,-128.37466430664062
1715265040.4798515,232,-139.8671875
1715265051.201396,242,-133.16831970214844
1715265061.1482635,252,-141.57489013671875
1715265071.2974849,262,-132.34457397460938
1715265081.2872803,272,-145.31068420410156
1715265091.2377658,282,-129.1010284423828
1715265100.9977386,292,-122.20185852050781
1715265111.294609,302,-160.06619262695312
1715265121.1618166,312,-151.3618927001953
1715265131.646628,323,-145.32177734375
1715265141.6612642,333,-129.48377990722656
1715265152.155943,343,-147.87767028808594
1715265163.0173485,354,-151.49830627441406
1715265173.8182714,365,-144.89064025878906
1715265184.4714189,376,-128.8649444580078
1715265195.2795355,386,-132.1404266357422
1715265205.5707965,397,-151.156005859375
1715265216.609283,408,-137.82981872558594
1715265227.2167137,418,-143.79263305664062
1715265237.3305378,428,-128.56553649902344
1715265248.2186732,439,-134.20555114746094
1715265258.1243796,449,-130.4071044921875
1715265268.2680562,459,-134.25100708007812
1715265277.7922354,469,-151.73617553710938
1715265287.1167705,478,-151.25621032714844
1715265296.6423893,488,-120.34483337402344
1715265306.1908133,497,-192.63143920898438
1715265315.464944,507,-152.40126037597656
1715265325.1118367,516,-138.0536346435547
1715265334.656038,526,-124.43990325927734
1715265343.9635146,535,-154.08384704589844
1715265354.2759132,545,-185.98745727539062
1715265362.9067612,554,-142.89773559570312
1715265372.187311,563,-129.53546142578125
1715265381.384615,572,-151.64193725585938
1715265390.4321516,582,-140.5935821533203
1715265399.4134622,590,-132.9318389892578
1715265408.3530598,599,-128.2989044189453
1715265417.8062825,609,-135.92909240722656
1715265427.4538798,619,-152.0225372314453
1715265436.2938118,627,-122.23809814453125
1715265446.3758407,637,-141.6044464111328
1715265455.4356744,647,-130.99667358398438
1715265465.449715,657,-156.1159210205078
1715265476.155039,667,-142.4263458251953
1715265486.1845229,677,-154.14947509765625
1715265496.1023984,687,-125.74118041992188
1715265505.433289,697,-139.1924285888672
1715265514.6910133,706,-136.3308868408203
1715265524.1075604,715,-127.17655944824219
1715265533.1386275,724,-127.3839340209961
1715265543.2500124,734,-137.2938232421875
1715265552.9736133,744,-141.2686767578125
1715265563.1615748,754,-143.07846069335938
1715265573.0546644,764,-115.94908905029297
1715265583.2164009,774,-128.83338928222656
1715265592.3862326,783,-136.0230712890625
1715265604.1632912,795,-143.8609161376953
1715265614.4603155,806,-139.3025665283203
1715265625.036392,816,-131.36279296875
1715265634.7557292,826,-117.13336944580078
1715265646.5055723,838,-139.94174194335938
1715265656.2446032,847,-124.00615692138672
1715265667.0737743,858,-168.35853576660156
1715265677.1687765,868,-141.5767059326172
1715265686.514397,878,-120.14434814453125
1715265697.1123168,888,-196.40699768066406
1715265706.9768424,898,-143.45559692382812
1715265717.7288845,909,-142.29364013671875
1715265728.2713037,919,-159.22193908691406
1715265738.5700035,930,-173.43885803222656
1715265748.5861993,940,-172.0284881591797
1715265757.6932743,949,-158.2185516357422
1715265766.560867,958,-132.7550048828125
1715265776.4432757,968,-142.3581085205078
1715265787.5026667,979,-131.6385040283203
1715265797.3360786,988,-142.60531616210938
1715265806.7969089,998,-134.44281005859375
1715265815.9697495,1007,-136.13824462890625
1715265825.7637653,1017,-137.18231201171875
1715265835.7278275,1027,-127.03993225097656
1715265844.851026,1036,-125.13188934326172
1715265855.4368167,1047,-125.31231689453125
1715265864.8886569,1056,-125.98587799072266
1715265875.031006,1066,-120.71617126464844
1715265883.98115,1075,-117.02616882324219
1715265893.1220593,1084,-116.94630432128906
1715265902.1068122,1093,-114.13972473144531
1715265910.8841748,1102,-122.1097183227539
1715265919.7175088,1111,-121.42186737060547
1715265928.1704392,1119,-121.4905014038086
1715265936.6127703,1128,-139.84893798828125
1715265944.9630933,1136,-123.51927185058594
1715265953.1485348,1144,-134.18820190429688
1715265961.4109626,1152,-132.9488983154297
1715265969.6743777,1161,-128.71424865722656
1715265977.4848294,1169,-124.42613220214844
1715265985.6745162,1177,-117.94727325439453
